,Year,Month,Latitude,Longitude,Depth,Region,Coral_cover,Reef_complexity,SST,NPP,Wave_exposure,Habitat_type_classLV2,Coral_area_UFRTM_20km,Coral_area_UFRTM_200km,Depth_Sbrocco,Deepwater,FSA,Marina_slips_10km,Marina_slips_25km,Marine_reserve,Population_20km,Population_50km,Recreational_fishermen_50km,Tourist_fishing,SG_permits_50km,SG_charter_permits_25km,Total_gravity,Keys_Divisions,Nursery_mangroves,Commercial_pounds_landed,Pop_per_area_reef_20km,impact,HABITAT_CD,Diversity_index
25,2005,June,24.5768167,-81.2895666,9.714898689,FLA KEYS,12.27651967,0.757449344,23.8054443,562.8466797,7.349856853,Pavement,146427,1164991,-16.0,1124.264038,4897.056152,23,609,Open,5349,36823,7955,1.435986148,91,62,110.0,Lower Keys,272499.5313,855670.2,0.036530148,0.35814662100104955,ISOL_MR,0.870055524
26,2005,June,24.6631334,-80.9877166,10.18972521,FLA KEYS,13.42891278,1.294265233,23.796991,577.3660889,7.331707954,Pavement,214571,1201547,-8.0,1082.842773,39463.45703,259,1027,Open,9553,18677,4678,1.108580492,29,56,164.0,Middle Keys,632773.0625,613278.2,0.044521394,0.29391736656170847,SPGR_LR,0.876494634
27,2005,June,24.6997834,-80.9671166,4.739416058,FLA KEYS,9.01459854,1.719708029,23.5992371,883.5570679,7.256290436,Individual or Aggregated Patch Reef,225030,1198597,-6.0,4342.640625,43161.73047,300,1091,Open,9613,19101,4930,1.154567862,29,56,134.0,Middle Keys,1670127.75,613278.2,0.042718749,0.262,ISOL_MR,0.942820931
28,2005,June,24.8303167,-80.6396166,27.25949367,FLA KEYS,3.040506329,1.604050633,23.7836243,599.1098022,7.426018238,Pavement with Sand Channels,51363,1160076,-14.0,382.8427124,17942.13477,189,1172,Open,4919,27836,7253,1.532030566,46,71,222.0,Middle Keys,246889.7188,613278.2,0.095769328,0.3891512372686224,SPGR_LR,0.447374913
29,2005,June,24.84769146,-80.62482671,4.002836879,FLA KEYS,0.252364066,0.2,23.7784058,678.2595215,7.484319687,Aggregate Reef,50948,1160195,-6.0,1089.949463,15613.70898,200,1202,Closed,7706,26290,7044,0.0,46,71,185.0,Middle Keys,333541.9063,613278.2,0.151252257,0.382,RUBB_LR,0.889817266
30,2005,June,24.8500834,-80.6163333,4.475512666,FLA KEYS,2.517490953,0.274125452,23.806604,668.8387451,7.471219063,Pavement,51436,1159857,-15.0,848.5281372,14689.44434,200,1276,Closed,7769,25261,6827,0.0,46,71,185.0,Middle Keys,312070.75,613278.2,0.151042072,0.3843032394606671,CONT_LR,0.881530214
31,2005,June,24.85945,-80.5968333,11.6,FLA KEYS,1.5,0.7,23.8500916,652.642334,7.463786602,Pavement with Sand Channels,51426,1159677,-23.0,724.2640991,12333.80957,316,1282,Open,8680,23386,6340,1.351947282,46,71,185.0,Middle Keys,287136.3438,613278.2,0.168786217,0.4077898583386199,SPGR_LR,0.872220482
32,2005,June,24.8799167,-80.5925499,4.9,FLA KEYS,0.982917214,0.249145861,23.7954346,724.645874,7.466627598,Pavement,54286,1160802,-5.0,2362.741699,10981.11816,513,1592,Open,9603,22622,6113,1.293140424,46,71,185.0,Middle Keys,798866.0,613278.2,0.176896437,0.4153264092073675,CONT_LR,0.860019175
33,2005,June,24.8701834,-80.5758666,17.99851485,FLA KEYS,5.0,1.2,23.8788086,609.661377,7.477808475,Pavement with Sand Channels,52068,1160467,-11.0,482.8427124,9736.75293,349,1592,Open,9603,21920,5931,1.257327251,46,71,185.0,Middle Keys,281645.5313,613278.2,0.184431897,0.4085346242136516,SPGR_LR,0.799152889
34,2005,June,24.8847834,-80.5757166,5.946930946,FLA KEYS,2.510230179,0.740792839,23.823053,655.5241699,7.467541218,Pavement,53991,1161019,-5.0,1797.056274,9074.011719,595,1712,Open,10009,21319,5785,1.252240152,46,71,185.0,Middle Keys,651826.3125,613278.2,0.185382749,0.44013116835935395,ISOL_LR,0.872172842
35,2005,June,24.87505,-80.5689666,17.24880319,FLA KEYS,2.0,1.100797872,23.8779236,594.6881104,7.472659588,Pavement with Sand Channels,52762,1160365,-22.0,565.6854248,8788.225586,473,1645,Open,9603,21314,5899,1.238403244,46,71,185.0,Middle Keys,342724.7813,613278.2,0.182005989,0.42645556530877315,SPGR_LR,0.523190261
36,2005,June,24.8879501,-80.56345,7.150187266,FLA KEYS,0.50062422,0.450062422,23.8373657,607.3565063,7.469133377,Individual or Aggregated Patch Reef,53958,1160079,-8.0,1231.37085,7708.326172,645,1833,Open,10155,20227,5686,1.146225021,46,71,185.0,Middle Keys,605439.0625,613278.2,0.188201935,0.489,CONT_LR,0.799390971
37,2005,June,24.9077786,-80.52960131,6.511408615,FLA KEYS,0.528521537,0.332130384,23.8603149,580.5775757,7.456530571,Pavement,54473,1158611,-4.0,907.1068115,3355.63501,507,1951,Open,10307,19874,5589,0.975298513,31,71,164.0,Upper Keys,528935.75,613278.2,0.189213005,0.45171191600144095,RUBB_LR,0.881053428
38,2005,June,24.9076501,-80.5262499,9.2,FLA KEYS,2.0,0.2,23.8689514,573.9439697,7.457889557,Pavement with Sand Channels,54405,1158288,-8.0,765.6854248,3055.63501,507,1951,Open,10372,19911,5589,0.975298513,31,71,164.0,Upper Keys,478450.0313,613278.2,0.190644242,0.4385441338582473,SPGR_LR,0.88655229
39,2005,June,24.9238834,-80.5018999,10.4,FLA KEYS,1.0,0.5,23.8924194,570.1300049,7.514793873,Pavement with Sand Channels,53092,1146898,-5.0,948.5281372,882.8427124,614,1956,Closed,11840,21201,5841,0.0,31,71,242.0,Upper Keys,323018.0625,613278.2,0.223009116,0.4829493440307264,SPGR_LR,0.915558586
40,2005,August,24.9564167,-80.4558332,9.976070529,FLA KEYS,2.884130982,0.629722922,23.9169861,609.8668823,7.499462605,Pavement with Sand Channels,56067,1112903,-15.0,807.1068115,6322.539551,399,1995,Closed,14325,20328,5663,0.0,33,71,242.0,Upper Keys,296757.4063,613278.2,0.255497886,0.5699953503754909,SPGR_LR,0.866027928
41,2005,August,24.9657667,-80.4409666,22.4,FLA KEYS,9.5,1.5,23.9549805,597.8850098,7.464215279,Pavement,57661,1107947,-20.0,424.2640686,8119.596191,397,2052,Open,14427,23348,5789,0.929311143,33,71,192.0,Upper Keys,259348.0313,613278.2,0.250203777,0.5811460636196151,SPGR_LR,0.85614498
42,2005,August,25.0320529,-80.3875847,2.247826087,FLA KEYS,10.01449275,0.373913043,23.9860779,760.0328979,7.414692402,Individual or Aggregated Patch Reef,64230,1101328,-4.0,3494.112549,17656.34961,796,1938,Open,14676,75455,10173,1.888534425,33,49,275.0,Upper Keys,900873.6875,613278.2,0.228491359,0.468,ISOL_MR,0.90276548
43,2005,August,25.0157,-80.3711999,7.8,FLA KEYS,3.5,0.6,24.038324,593.7003174,7.417349339,Aggregate Reef,60929,1093573,-11.0,1048.528198,17380.61328,54,1836,Closed,14360,45876,7732,0.0,33,49,275.0,Upper Keys,118408.0234,613278.2,0.235684157,0.473,CONT_LR,0.917943906
44,2005,August,25.0116667,-80.3691999,14.2,FLA KEYS,10.0,1.25,24.0399414,568.4604492,7.442008972,Pavement with Sand Channels,60201,1092502,-11.0,665.6854248,17414.92773,0,1836,Open,14360,45876,7177,1.102069006,33,49,275.0,Upper Keys,58987.02344,613278.2,0.238534244,0.4642140263207141,CONT_LR,0.828316833
45,2005,August,25.04808158,-80.34310849,3.2,FLA KEYS,0.0,0.224269377,24.0929199,592.1716919,7.466498852,Reef Rubble,62313,1087623,-4.0,1514.213623,17932.08594,0,1700,Open,11115,110902,11308,2.173208454,35,49,205.0,Upper Keys,457838.2813,318050.4,0.178373694,0.3932090413823279,RUBB_LR,0.824929457
46,2005,September,25.1344667,-80.3297999,2.620121212,FLA KEYS,21.37575758,0.812727273,23.8558594,565.4429321,7.380681992,Individual or Aggregated Patch Reef,65353,1143533,-4.0,5939.696777,11215.43262,215,1796,Open,8745,217093,19881,3.40550718,40,49,294.0,Upper Keys,2425264.25,318050.4,0.133811761,0.39,ISOL_MR,0.91584021
47,2005,September,25.2133167,-80.3255333,1.84858681,FLA KEYS,0.0,0.137853297,23.9055115,658.7526245,7.17872858,Pavement,64109,1183293,-2.0,11272.28711,11429.64648,88,1399,Open,8890,403156,29046,4.140491163,49,23,308.0,Upper Keys,2196577.75,318050.4,0.138670078,0.347316063630748,ISOL_MR,0.866666667
48,2005,September,25.10759165,-80.29342495,9.2,FLA KEYS,4.0,0.5,24.0403381,433.3578796,7.410348415,Pavement,62111,1111359,-7.0,1131.37085,9143.860352,0,1630,Open,8057,167614,15149,2.63654138,38,23,294.0,Upper Keys,501744.4375,318050.4,0.129719373,0.3822399950369148,CONT_LR,0.8775592
49,2005,September,25.14205,-80.2830499,8.332653061,FLA KEYS,10.0,1.118367347,24.0459534,412.8154297,7.451501846,Individual or Aggregated Patch Reef,61612,1142300,-8.0,2928.427246,6101.219238,10,1489,Open,8807,221631,19784,3.412832602,39,23,294.0,Upper Keys,778576.4375,318050.4,0.142942933,0.358,ISOL_MR,0.888554523
50,2005,September,25.1167167,-80.2775999,17.15552913,FLA KEYS,7.776456599,0.722116528,24.0616394,416.5751648,7.47086668,Pavement with Sand Channels,60991,1116808,-25.0,424.2640686,7481.118164,0,1503,Open,7851,173631,16722,2.741132124,38,23,294.0,Upper Keys,248592.7656,318050.4,0.12872391,0.37592423512414874,SPGR_LR,0.880429676
51,2005,September,25.18686998,-80.26420477,2.441837969,FLA KEYS,10.09068924,0.5,24.0857178,552.0982666,7.328690052,Pavement,64513,1161386,-2.0,4484.062012,4069.848389,0,1083,Open,6815,317234,24649,3.661693458,47,23,285.0,Upper Keys,597579.5,318050.4,0.105637623,0.3486535223597325,CONT_LR,0.895784787
52,2005,September,25.13835,-80.2569166,19.68833922,FLA KEYS,18.3745583,0.94664311,24.1297241,408.2623291,7.463067532,Pavement with Sand Channels,60239,1131476,-13.0,665.6854248,4152.691406,0,1399,Open,7003,209091,17791,3.074642297,39,23,202.0,Upper Keys,79387.92188,318050.4,0.11625359,0.35863160694989094,SPGR_LR,0.903446016
53,2005,September,25.1435167,-80.2572833,7.0,FLA KEYS,5.5,3.0,24.1282898,408.9800415,7.4637537,Pavement with Sand Channels,60652,1135209,-6.0,948.5281372,3652.691162,0,1399,Open,7369,225985,18854,3.263271908,39,23,202.0,Upper Keys,115539.9531,318050.4,0.121496406,0.3580085205554844,SPGR_HR,0.820275645
54,2005,September,25.17610577,-80.2548606,6.518657565,FLA KEYS,23.66040956,0.988339022,24.1117188,508.8849182,7.400405407,Individual or Aggregated Patch Reef,63343,1154459,-5.0,2969.848389,2614.213623,0,1063,Open,6647,292614,23027,3.512539731,47,23,202.0,Upper Keys,330736.25,318050.4,0.104936615,0.348,CONT_LR,0.840597946
55,2005,July,25.2484334,-80.2191166,3.791368681,FLA KEYS,2.564734895,1.156658446,24.1615234,688.1280518,7.34980917,Pavement,58903,1138863,-2.0,3241.421387,4269.848633,316,591,Open,2581,477668,31936,4.309179347,41,23,285.0,Upper Keys,427645.3125,318050.4,0.043817802,0.3250582027943494,CONT_LR,0.908671316
56,2005,July,25.2497167,-80.2186666,3.883882784,FLA KEYS,5.380952381,0.595970696,24.1619507,683.5427856,7.3646698,Pavement,58867,1138526,-2.0,3182.842773,4328.427246,316,591,Open,2581,477668,31936,4.312842058,41,23,285.0,Upper Keys,432234.3438,318050.4,0.043844599,0.3248728846202266,CONT_LR,0.926381209
57,2005,July,25.2442333,-80.2143999,4.689976134,FLA KEYS,4.312649165,1.579952267,24.1879211,666.5670776,7.397708416,Individual or Aggregated Patch Reef,58767,1137476,-6.0,2582.842773,3562.741699,116,591,Open,2448,424872,31460,4.16307788,41,23,285.0,Upper Keys,293376.5,318050.4,0.041656031,0.31,ISOL_MR,0.915583692
58,2005,August,25.21960015,-80.21112469,5.399074074,FLA KEYS,3.254050926,2.423668981,24.2125793,602.0726929,7.412677288,Spur and Groove,58666,1138208,-5.0,1272.792236,1282.842773,0,636,Closed,3325,359716,27675,0.0,39,23,285.0,Upper Keys,77754.66406,318050.4,0.05667678,0.344,SPGR_HR,0.929060646
59,2005,August,25.2214833,-80.2093666,9.2,FLA KEYS,3.0,0.351122195,24.2191711,599.7316284,7.402903557,Pavement,58346,1137375,-4.0,1100.0,1165.685425,0,636,Closed,3068,378179,27300,0.0,39,23,285.0,Upper Keys,70407.95313,318050.4,0.052582868,0.34356881851110355,CONT_LR,0.894441512
60,2005,August,25.22979035,-80.20269023,9.489606127,FLA KEYS,2.947483589,1.526258206,24.2467285,595.7271118,7.391202927,Pavement with Sand Channels,57936,1133884,-10.0,724.2640991,1524.264038,0,591,Closed,2183,387247,28029,0.0,39,23,285.0,Upper Keys,52340.08984,318050.4,0.037679508,0.3138737422893819,SPGR_LR,0.936269135
61,2005,July,25.2374,-80.2026499,8.455813953,FLA KEYS,2.0,0.848837209,24.2403198,614.1430664,7.414660931,Spur and Groove,58101,1133374,-7.0,1141.421387,2365.685547,0,591,Open,1955,413731,29050,3.788870919,40,23,285.0,Upper Keys,106662.0156,318050.4,0.033648302,0.31,SPGR_LR,0.913148121
62,2005,July,25.2803167,-80.1710332,22.45658363,FLA KEYS,4.870699881,0.778291815,24.2349487,470.2147217,7.386832714,Spur and Groove,53206,1120579,-15.0,141.4213562,2324.26416,0,387,Open,1537,581066,34598,5.390289508,42,23,218.0,Upper Keys,68845.14844,318050.4,0.028887719,0.17,SPGR_LR,0.864048024
63,2005,July,25.2992167,-80.1596832,21.06163451,FLA KEYS,4.204880817,1.255448354,24.2764221,423.3854065,7.413299561,Pavement with Sand Channels,49596,1113799,-37.0,0.0,741.4213867,0,330,Open,1536,640892,39089,6.718632652,42,23,218.0,Upper Keys,69363.83594,318050.4,0.03097024,0.2189618526225636,SPGR_LR,0.920564681
64,2005,August,25.3205667,-80.1548499,11.3,FLA KEYS,3.0,0.758591885,24.2958618,335.4389648,7.361551762,Pavement with Sand Channels,46312,1110175,-12.0,500.0,2797.056397,0,514,Open,1536,907215,45708,9.056440965,38,23,218.0,Upper Keys,184989.5469,318050.4,0.03316635,0.3237671746742733,SPGR_LR,0.899937287
65,2005,July,25.3564,-80.1413832,14.08909953,FLA KEYS,3.109004739,0.605450237,24.2801453,348.6941528,7.406195641,Pavement with Sand Channels,42196,1105476,-31.0,0.0,7294.112793,0,514,Open,1508,1316521,59703,20.62599933,41,0,218.0,Upper Keys,235485.0,318050.4,0.035737985,0.4785634945099638,SPGR_LR,0.879965768
66,2005,July,25.3737167,-80.1391166,6.052995392,FLA KEYS,13.89631336,2.673963134,24.319696,354.9025269,7.313940048,Aggregate Reef,40840,1105294,-18.0,582.8427124,9276.955078,0,514,Open,1506,1553472,63884,23.43140505,43,0,215.0,Upper Keys,342478.2188,318050.4,0.036875612,0.497,SPGR_HR,0.859614925
67,2005,July,25.4225334,-80.1252832,3.8,FLA KEYS,3.0,0.2,24.2807556,392.0703735,7.29295063,Pavement,38058,1101320,-8.0,700.0,15274.01172,0,524,Open,460,1899429,74148,29.99327768,50,0,215.0,Upper Keys,56723.51172,318050.4,0.012086815,0.5002192151150053,CONT_LR,0.784872629
68,2005,August,25.5071667,-80.1200999,5.502661597,FLA KEYS,5.0,0.550443599,24.2262207,482.1365051,7.392289639,Aggregate Reef,35132,1083050,-7.0,2000.0,24756.85352,0,833,Open,123,2463858,89320,37.91522778,59,5,314.0,Upper Keys,60524.42969,318050.4,0.003501082,0.534,CONT_LR,0.900205751
69,2005,August,25.5113167,-80.1162832,7.456630824,FLA KEYS,5.0,0.413261649,24.2517334,485.3851318,7.391442776,Pavement,35130,1081068,-6.0,1700.0,25422.53906,0,809,Open,2276,2503240,89320,38.1597382,59,1,314.0,Upper Keys,60376.41406,318050.4,0.064787931,0.5358432444872777,ISOL_LR,0.91149356
70,2005,August,25.4766334,-80.1113999,5.209339975,FLA KEYS,2.0,0.151556663,24.2608887,452.6248474,7.406907082,Aggregate Reef,32724,1086608,-4.0,682.8427124,21771.06836,0,470,Open,0,2281737,83256,34.68694084,58,0,314.0,Upper Keys,36362.72656,318050.4,0.0,0.504,SPGR_LR,0.847365232
71,2005,August,25.4945,-80.1036499,17.39625468,FLA KEYS,2.503121099,2.0,24.3138367,470.0197449,7.449239731,Pavement with Sand Channels,32177,1081056,-14.0,300.0,24061.01758,0,411,Open,22,2373305,85974,36.14163729,58,0,314.0,Upper Keys,38155.40625,318050.4,0.000683718,0.4207585571282007,SPGR_LR,0.913477078
72,2006,June,24.60491867,-82.97210218,13.86467391,DRY TORT,3.137228261,0.631453804,23.0052734,555.1168213,7.319424152,Aggregate Reef,44791,830959,-14.0,2787.005859,19898.99023,0,0,Open,0,0,0,0.0,0,0,29.0,Dry Tortugas,44361.49219,1511066.2,0.0,0.0,CONT_LR,0.900494142
73,2006,June,24.60691107,-82.96802641,13.81186839,DRY TORT,3.237367803,1.141950646,22.9923035,563.4210205,7.289907455,Aggregate Reef,46296,835359,-14.0,2787.005859,20423.25391,0,0,Open,0,0,0,0.0,0,0,29.0,Dry Tortugas,39732.89063,1511066.2,0.0,0.0,ISOL_MR,0.703312707
74,2006,June,24.63920274,-82.96428246,24.75314917,DRY TORT,13.08563536,2.967127072,22.8300415,617.7424316,7.439023495,Aggregate Reef,50479,841861,-24.0,582.8427124,24030.36133,0,0,Open,0,0,0,0.0,0,0,29.0,Dry Tortugas,25449.4043,1511066.2,0.0,0.0,ISOL_HR,0.597330671
75,2006,June,24.61064145,-82.96299181,13.85080386,DRY TORT,6.751339764,1.473794212,22.9762512,574.2711182,7.307189941,Individual or Aggregated Patch Reef,47870,840509,-13.0,2928.427246,21088.93945,0,0,Open,0,0,0,0.0,0,0,29.0,Dry Tortugas,33856.23047,1511066.2,0.0,0.0,CONT_MR,0.929692806
76,2006,June,24.60553144,-82.95658367,13.46666667,DRY TORT,3.722222222,1.509259259,22.9876648,571.8134766,7.262115002,Individual or Aggregated Patch Reef,48138,845287,-13.0,3776.955322,21440.41211,0,0,Open,0,0,0,0.0,0,0,29.0,Dry Tortugas,29572.91016,1511066.2,0.0,0.0,ISOL_MR,0.819321646
77,2006,June,24.5652,-82.953417,18.7,DRY TORT,7.0,1.425,23.1137634,512.1087036,7.467813969,Aggregate Reef,41554,843565,-20.0,6888.225098,20017.87109,0,0,Open,0,0,0,0.0,0,0,29.0,Dry Tortugas,33016.72266,1511066.2,0.0,0.0,CONT_MR,0.911239806
78,2006,June,24.567433,-82.953933,16.63376932,DRY TORT,2.435790725,0.931747919,23.1082703,514.1071167,7.467853546,Aggregate Reef,41907,842959,-20.0,6646.803711,20000.71484,0,0,Open,0,0,0,0.0,0,0,29.0,Dry Tortugas,33833.5625,1511066.2,0.0,0.0,CONT_LR,0.87187293
